index,label,category,file
149,UI Game Modes,background,ui_game_modes.png
150,UI Items Menu,background,ui_items_menu.png
151,UI Main Menu,background,ui_main_menu.png
152,UI Meta Progression,background,ui_meta_progression.png
153,UI Options,background,ui_options.png
154,UI Tutorial Progress,background,ui_tutorial_progress.png
155,UI Tutorial Setup,background,ui_tutorial_setup.png
156,Puzzle Board,background,bg_puzzle_board.png
157,Boss Gate,background,bg_boss_gate.png
158,Shop,background,bg_shop.png
159,Reward Loot,background,bg_reward.png
160,Curse Panel,background,bg_curse.png
161,Event Choice,background,bg_event.png
162,Defeat,background,bg_defeat.png
163,Victory,background,bg_victory.png
